"BPBM","genus","species","svl","finger","toe","ft","anterior","posterior","ap","reference","fpadtpad","palate","toe_length","toe_webbing","IO_space","tympanum","teeth","two_palate_folds","pupil_horizontal","pectoral_type","call_type","gensp"
22539,"Oreophryne","loriae",24.7,NA,NA,NA,NA,NA,NA,"",0,2,FALSE,3,1,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_loriae"
22689,"Oreophryne","cameroni",14.51,NA,NA,NA,NA,NA,NA,"",1,0,FALSE,0,0,1,FALSE,TRUE,TRUE,"cartilaginous","peeping","Oreophryne_cameroni"
22785,"Oreophryne","parkeri",24.5,2.093401125,2.320807845,0.902013982,2.177705779,1.849129897,1.177692158,"",0,1,FALSE,2,2,1,FALSE,TRUE,TRUE,"ligamentous","peeping","Oreophryne_parkeri"
22787,"Oreophryne","parkopanorum",15.73,NA,NA,NA,NA,NA,NA,"Kraus_2013",0,0,FALSE,0,0,1,FALSE,TRUE,TRUE,"cartilaginous","other","Oreophryne_parkopanorum"
22788,"Oreophryne","parkopanorum",17.79,NA,NA,NA,NA,NA,NA,"",1,0,FALSE,0,1,1,FALSE,TRUE,TRUE,"cartilaginous","other","Oreophryne_parkopanorum"
22790,"Oreophryne","parkopanorum",17.43,NA,NA,NA,NA,NA,NA,"",1,0,FALSE,0,0,1,FALSE,TRUE,TRUE,"cartilaginous","other","Oreophryne_parkopanorum"
23481,"Oreophryne","biroi",28.3,NA,NA,NA,NA,NA,NA,"",1,1,FALSE,2,1,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Oreophryne_biroi"
23481,"Oreophryne","biroi",30.5,2.243482906,1.659529915,1.351878557,2.724127491,1.991962223,1.367559816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_biroi"
23483,"Oreophryne","biroi",27.3,1.977422749,1.892279728,1.044994944,2.263764715,1.628263132,1.390294155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_biroi"
23483,"Oreophryne","biroi",30.5,NA,NA,NA,NA,NA,NA,"",1,1,FALSE,2,0,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Oreophryne_biroi"
23484,"Oreophryne","biroi",21.7,1.949154715,1.508078534,1.292475604,2.300620753,1.685666976,1.364813327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreophryne_biroi"
23484,"Oreophryne","biroi",27.3,NA,NA,NA,NA,NA,NA,"Kraus_2013",0,0,FALSE,2,2,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Oreophryne_biroi"
23485,"Oreophryne","biroi",29,2.070840373,1.528548841,1.354775403,2.195264431,1.6562628,1.325432432,"",1,2,FALSE,2,1,1,FALSE,TRUE,TRUE,"ligamentous","rattle","Oreophryne_biroi"
27488,"Oreophryne","loriae",25.9,1.583981982,1.558440273,1.016389277,1.820981568,1.631306863,1.116271628,"",1,1,FALSE,3,1,1,FALSE,TRUE,TRUE,"ligamentous","honk","Oreophryne_loriae"
